data_file,gt,predict,wer
asr_data/Jake/1/add.wav,add,add,0.0
asr_data/Jake/1/back.wav,back,back,0.0
asr_data/Jake/1/done.wav,done,done,0.0
asr_data/Jake/1/go payment.wav,go payment,go payment,0.0
asr_data/Jake/1/hi.wav,hi,hi,0.0
asr_data/Jake/1/home.wav,home,tom,1.0
asr_data/Jake/1/next time.wav,next time,next time,0.0
asr_data/Jake/1/next.wav,next,next,0.0
asr_data/Jake/1/nfc.wav,nfc,nfc,0.0
asr_data/Jake/1/setting.wav,setting,setting,0.0
asr_data/Jake/1/show coupon.wav,show coupon,show coupon,0.0
asr_data/Jake/1/use coupon.wav,use coupon,use coupon,0.0
asr_data/Jake/1/use now.wav,use now,use now,0.0
asr_data/Jake/2/add.wav,add,add,0.0
asr_data/Jake/2/back.wav,back,back,0.0
asr_data/Jake/2/done.wav,done,tang,1.0
asr_data/Jake/2/go payment.wav,go payment,go payment,0.0
asr_data/Jake/2/hi.wav,hi,hi,0.0
asr_data/Jake/2/home.wav,home,home,0.0
asr_data/Jake/2/next time.wav,next time,next time,0.0
asr_data/Jake/2/next.wav,next,next,0.0
asr_data/Jake/2/nfc.wav,nfc,an efficacy,2.0
asr_data/Jake/2/setting.wav,setting,use in,2.0
asr_data/Jake/2/show coupon.wav,show coupon,show coupon,0.0
asr_data/Jake/2/use coupon.wav,use coupon,use coupon,0.0
asr_data/Jake/2/use now.wav,use now,use now,0.0
asr_data/Bobo/1/back.wav,back,bet,1.0
asr_data/Bobo/1/hi.wav,hi,hi,0.0
asr_data/Bobo/1/home.wav,home,home,0.0
asr_data/Bobo/1/next.wav,next,next,0.0
asr_data/Bobo/1/NFC.wav,nfc,nfc,0.0
asr_data/Bobo/1/use coupon.wav,use coupon,use coupon,0.0
asr_data/Bobo/1/setting.wav,setting,setting,0.0
asr_data/Bobo/1/use now.wav,use now,you now,0.5
asr_data/Bobo/1/go payment.wav,go payment,go payment,0.0
asr_data/Bobo/1/done.wav,done,done,0.0
asr_data/Bobo/1/Add.wav,add,add,0.0
asr_data/Bobo/1/Show coupon.wav,show coupon,show coupon will hi now,1.5
asr_data/Bobo/2/add.wav,add,eight,1.0
asr_data/Bobo/2/go payment.wav,go payment,go payment,0.0
asr_data/Bobo/2/done.wav,done,done,0.0
asr_data/Bobo/2/back.wav,back,bet,1.0
asr_data/Bobo/2/hi.wav,hi,hi,0.0
asr_data/Bobo/2/home.wav,home,home,0.0
asr_data/Bobo/2/next.wav,next,dust,1.0
asr_data/Bobo/2/setting.wav,setting,setting,0.0
asr_data/Bobo/2/NFC.wav,nfc,nfc,0.0
asr_data/Bobo/2/next time.wav,next time,next time,0.0
asr_data/Bobo/2/Add.wav,add,add,0.0
asr_data/Bobo/2/Use now.wav,use now,use now,0.0
asr_data/Bobo/2/Use coupon.wav,use coupon,use coupon,0.0
asr_data/Bobo/2/Show coupon.wav,show coupon,show coupon will now,1.0
asr_data/MH/1/Done.wav,done,dung,1.0
asr_data/MH/1/go payment.wav,go payment,go payment,0.0
asr_data/MH/1/Hi.wav,hi,hi,0.0
asr_data/MH/1/Home.wav,home,hi,1.0
asr_data/MH/1/Next time.wav,next time,miss time,0.5
asr_data/MH/1/Next.wav,next,nice,1.0
asr_data/MH/1/NFC.wav,nfc,done nfc,1.0
asr_data/MH/1/Setting.wav,setting,setting,0.0
asr_data/MH/1/Show coupon.wav,show coupon,show coupon,0.0
asr_data/MH/1/Use coupon.wav,use coupon,use coupon,0.0
asr_data/MH/1/Use now.wav,use now,use now,0.0
asr_data/MH/1/Add.wav,add,add,0.0
asr_data/MH/1/Back.wav,back,back,0.0
asr_data/MH/2/add.wav,add,id,1.0
asr_data/MH/2/use now.wav,use now,use now,0.0
asr_data/MH/2/use coupon.wav,use coupon,use coupon,0.0
asr_data/MH/2/show coupon.wav,show coupon,show coupon,0.0
asr_data/MH/2/back.wav,back,back,0.0
asr_data/MH/2/done.wav,done,zang,1.0
asr_data/MH/2/Go payment.wav,go payment,go payment,0.0
asr_data/MH/2/hi.wav,hi,hi,0.0
asr_data/MH/2/home.wav,home,home,0.0
asr_data/MH/2/next time.wav,next time,next time,0.0
asr_data/MH/2/next.wav,next,nice,1.0
asr_data/MH/2/setting.wav,setting,setting,0.0
asr_data/MH/2/NFC.wav,nfc,done nfc,1.0
asr_data/John/1/Add.wav,add,add,0.0
asr_data/John/1/Back.wav,back,you are back,2.0
asr_data/John/1/Done.wav,done,done,0.0
